tag,step,wall_time,value
env/win_rate(通關率),32768,1767850555.705423,0.0
env/win_rate(通關率),65536,1767850559.228526,0.0
env/win_rate(通關率),98304,1767850562.996143,0.0
env/win_rate(通關率),131072,1767850566.719327,0.0
env/win_rate(通關率),163840,1767850570.4483514,0.0
env/win_rate(通關率),196608,1767850574.1534498,0.0
env/win_rate(通關率),229376,1767850577.8905578,0.0
env/win_rate(通關率),262144,1767850581.583047,0.0
env/win_rate(通關率),294912,1767850585.2030509,0.0
env/win_rate(通關率),327680,1767850588.9230797,0.0
env/win_rate(通關率),360448,1767850592.6420286,0.0
env/win_rate(通關率),393216,1767850596.5343516,0.0
env/win_rate(通關率),425984,1767850600.2572355,0.0
env/win_rate(通關率),458752,1767850604.004208,0.0
env/win_rate(通關率),491520,1767850607.7767951,0.0
env/win_rate(通關率),524288,1767850611.5745854,0.0
env/win_rate(通關率),557056,1767850615.2046947,0.0
env/win_rate(通關率),589824,1767850618.933322,0.0
env/win_rate(通關率),622592,1767850622.619367,0.0
env/win_rate(通關率),655360,1767850626.3165457,0.0
env/win_rate(通關率),688128,1767850629.9219232,0.0
env/win_rate(通關率),720896,1767850633.6161911,0.0
env/win_rate(通關率),753664,1767850637.1983774,0.0
env/win_rate(通關率),786432,1767850640.8717477,0.0
env/win_rate(通關率),819200,1767850644.4654818,0.0
env/win_rate(通關率),851968,1767850648.1052475,0.0
env/win_rate(通關率),884736,1767850651.703579,0.0
env/win_rate(通關率),917504,1767850655.3435278,0.0
env/win_rate(通關率),950272,1767850659.0710485,0.0
env/win_rate(通關率),983040,1767850662.7455473,0.0
env/win_rate(通關率),1015808,1767850666.481074,0.0
env/win_rate(通關率),1048576,1767850670.1074698,0.0
env/win_rate(通關率),1081344,1767850673.8068314,0.0
env/win_rate(通關率),1114112,1767850677.3988,0.0
env/win_rate(通關率),1146880,1767850681.0832002,0.0
env/win_rate(通關率),1179648,1767850684.683882,0.0
env/win_rate(通關率),1212416,1767850688.3471098,0.0
env/win_rate(通關率),1245184,1767850692.0412767,0.0
env/win_rate(通關率),1277952,1767850695.7100718,0.0
env/win_rate(通關率),1310720,1767850699.3796778,0.0
env/win_rate(通關率),1343488,1767850703.1060586,0.0
env/win_rate(通關率),1376256,1767850706.7275863,0.009999999776482582
env/win_rate(通關率),1409024,1767850710.4058769,0.009999999776482582
env/win_rate(通關率),1441792,1767850713.9961836,0.009999999776482582
env/win_rate(通關率),1474560,1767850717.6598337,0.029999999329447746
env/win_rate(通關率),1507328,1767850721.2686496,0.029999999329447746
env/win_rate(通關率),1540096,1767850724.905224,0.05999999865889549
env/win_rate(通關率),1572864,1767850728.5152638,0.05999999865889549
env/win_rate(通關率),1600000,1767850737.0012846,0.07000000029802322
env/win_rate(通關率),1605632,1767850737.711769,0.07999999821186066
env/win_rate(通關率),1638400,1767850741.4428859,0.11999999731779099
env/win_rate(通關率),1671168,1767850745.071232,0.12999999523162842
env/win_rate(通關率),1703936,1767850748.701232,0.1599999964237213
env/win_rate(通關率),1736704,1767850752.3870256,0.17000000178813934
env/win_rate(通關率),1769472,1767850755.9522567,0.17000000178813934
env/win_rate(通關率),1802240,1767850759.612867,0.17000000178813934
env/win_rate(通關率),1835008,1767850763.1786482,0.1899999976158142
env/win_rate(通關率),1867776,1767850766.8146942,0.20000000298023224
env/win_rate(通關率),1900544,1767850770.3717258,0.20000000298023224
env/win_rate(通關率),1933312,1767850774.0567575,0.2199999988079071
env/win_rate(通關率),1966080,1767850777.6604764,0.20999999344348907
env/win_rate(通關率),1998848,1767850781.2761362,0.25
env/win_rate(通關率),2031616,1767850784.883305,0.25
env/win_rate(通關率),2064384,1767850788.4913623,0.25999999046325684
env/win_rate(通關率),2097152,1767850792.2032356,0.25
env/win_rate(通關率),2129920,1767850795.866282,0.20999999344348907
env/win_rate(通關率),2162688,1767850799.5272243,0.20000000298023224
env/win_rate(通關率),2195456,1767850803.2312806,0.18000000715255737
env/win_rate(通關率),2228224,1767850806.8434565,0.1599999964237213
env/win_rate(通關率),2260992,1767850810.455892,0.1599999964237213
env/win_rate(通關率),2293760,1767850814.0776038,0.18000000715255737
env/win_rate(通關率),2326528,1767850817.7324646,0.1899999976158142
env/win_rate(通關率),2359296,1767850821.3082688,0.1899999976158142
env/win_rate(通關率),2392064,1767850824.9743595,0.2199999988079071
env/win_rate(通關率),2424832,1767850828.55592,0.23000000417232513
env/win_rate(通關率),2457600,1767850832.2084389,0.25999999046325684
env/win_rate(通關率),2490368,1767850835.7887897,0.25999999046325684
env/win_rate(通關率),2523136,1767850839.410689,0.27000001072883606
env/win_rate(通關率),2555904,1767850842.9688787,0.27000001072883606
env/win_rate(通關率),2588672,1767850846.6125402,0.27000001072883606
env/win_rate(通關率),2621440,1767850850.1919608,0.23999999463558197
env/win_rate(通關率),2654208,1767850853.8263726,0.25
env/win_rate(通關率),2686976,1767850857.4195008,0.27000001072883606
env/win_rate(通關率),2719744,1767850861.3290613,0.2800000011920929
env/win_rate(通關率),2752512,1767850865.0908148,0.2800000011920929
env/win_rate(通關率),2785280,1767850869.031745,0.3100000023841858
env/win_rate(通關率),2818048,1767850872.8489573,0.3199999928474426
env/win_rate(通關率),2850816,1767850876.7107396,0.3799999952316284
env/win_rate(通關率),2883584,1767850880.4894252,0.4000000059604645
env/win_rate(通關率),2916352,1767850884.3961153,0.4300000071525574
env/win_rate(通關率),2949120,1767850888.1782212,0.4399999976158142
env/win_rate(通關率),2981888,1767850891.9776053,0.4699999988079071
env/win_rate(通關率),3014656,1767850895.7577431,0.46000000834465027
env/win_rate(通關率),3047424,1767850899.5806687,0.49000000953674316
env/win_rate(通關率),3080192,1767850903.3661573,0.5199999809265137
env/win_rate(通關率),3112960,1767850907.1832235,0.5
env/win_rate(通關率),3145728,1767850911.2433429,0.5199999809265137
env/win_rate(通關率),3178496,1767850915.1832602,0.4699999988079071
env/win_rate(通關率),3200000,1767850924.5230672,0.49000000953674316
env/win_rate(通關率),3211264,1767850925.8636262,0.47999998927116394
env/win_rate(通關率),3244032,1767850929.708885,0.47999998927116394
env/win_rate(通關率),3276800,1767850933.5472097,0.49000000953674316
env/win_rate(通關率),3309568,1767850937.467982,0.49000000953674316
env/win_rate(通關率),3342336,1767850941.3087542,0.5699999928474426
env/win_rate(通關率),3375104,1767850945.2962406,0.550000011920929
env/win_rate(通關率),3407872,1767850949.2080567,0.5799999833106995
env/win_rate(通關率),3440640,1767850952.9483771,0.5600000023841858
env/win_rate(通關率),3473408,1767850957.3175955,0.550000011920929
env/win_rate(通關率),3506176,1767850961.4267182,0.6100000143051147
env/win_rate(通關率),3538944,1767850965.30745,0.6200000047683716
env/win_rate(通關率),3571712,1767850969.296191,0.6100000143051147
env/win_rate(通關率),3604480,1767850972.9610317,0.6000000238418579
env/win_rate(通關率),3637248,1767850976.7373757,0.5899999737739563
env/win_rate(通關率),3670016,1767850980.5669193,0.6299999952316284
env/win_rate(通關率),3702784,1767850984.6186466,0.6399999856948853
env/win_rate(通關率),3735552,1767850988.6584132,0.6100000143051147
env/win_rate(通關率),3768320,1767850992.5548205,0.6100000143051147
env/win_rate(通關率),3801088,1767850996.5146782,0.550000011920929
env/win_rate(通關率),3833856,1767851000.422122,0.5299999713897705
env/win_rate(通關率),3866624,1767851004.6852853,0.5600000023841858
env/win_rate(通關率),3899392,1767851008.561874,0.550000011920929
env/win_rate(通關率),3932160,1767851012.599403,0.550000011920929
env/win_rate(通關率),3964928,1767851016.6966462,0.550000011920929
env/win_rate(通關率),3997696,1767851020.5565472,0.5400000214576721
env/win_rate(通關率),4030464,1767851024.2745268,0.5099999904632568
env/win_rate(通關率),4063232,1767851027.931706,0.550000011920929
env/win_rate(通關率),4096000,1767851031.6902683,0.5699999928474426
env/win_rate(通關率),4128768,1767851035.552128,0.5799999833106995
env/win_rate(通關率),4161536,1767851039.3616033,0.5199999809265137
env/win_rate(通關率),4194304,1767851043.1991954,0.5
env/win_rate(通關率),4227072,1767851047.1003935,0.5
env/win_rate(通關率),4259840,1767851050.8482265,0.44999998807907104
env/win_rate(通關率),4292608,1767851054.8405092,0.44999998807907104
env/win_rate(通關率),4325376,1767851058.8245432,0.46000000834465027
env/win_rate(通關率),4358144,1767851062.640887,0.44999998807907104
env/win_rate(通關率),4390912,1767851066.511372,0.46000000834465027
env/win_rate(通關率),4423680,1767851070.3151045,0.46000000834465027
env/win_rate(通關率),4456448,1767851074.1013825,0.47999998927116394
env/win_rate(通關率),4489216,1767851077.8736207,0.5
env/win_rate(通關率),4521984,1767851081.7243874,0.5400000214576721
env/win_rate(通關率),4554752,1767851085.5352962,0.5600000023841858
env/win_rate(通關率),4587520,1767851089.4027958,0.5600000023841858
env/win_rate(通關率),4620288,1767851093.227601,0.550000011920929
env/win_rate(通關率),4653056,1767851097.0151076,0.550000011920929
env/win_rate(通關率),4685824,1767851100.8662007,0.6100000143051147
env/win_rate(通關率),4718592,1767851104.6115327,0.5799999833106995
env/win_rate(通關率),4751360,1767851108.3256793,0.6100000143051147
env/win_rate(通關率),4784128,1767851112.1232119,0.6299999952316284
env/win_rate(通關率),4800000,1767851120.069484,0.6200000047683716
env/win_rate(通關率),4816896,1767851122.0869133,0.5899999737739563
env/win_rate(通關率),4849664,1767851125.9408178,0.5299999713897705
env/win_rate(通關率),4882432,1767851129.6968298,0.5
env/win_rate(通關率),4915200,1767851133.48323,0.49000000953674316
env/win_rate(通關率),4947968,1767851137.2527626,0.41999998688697815
env/win_rate(通關率),4980736,1767851141.0984478,0.36000001430511475
env/win_rate(通關率),5013504,1767851144.8310637,0.33000001311302185
env/win_rate(通關率),5046272,1767851148.5421064,0.3499999940395355
env/win_rate(通關率),5079040,1767851152.4135032,0.4000000059604645
env/win_rate(通關率),5111808,1767851156.2059376,0.4000000059604645
env/win_rate(通關率),5144576,1767851159.8980644,0.4300000071525574
env/win_rate(通關率),5177344,1767851163.7191901,0.41999998688697815
env/win_rate(通關率),5210112,1767851167.4530969,0.4399999976158142
env/win_rate(通關率),5242880,1767851171.206861,0.44999998807907104
env/win_rate(通關率),5275648,1767851174.9225078,0.49000000953674316
env/win_rate(通關率),5308416,1767851178.7835948,0.47999998927116394
env/win_rate(通關率),5341184,1767851182.6305401,0.38999998569488525
env/win_rate(通關率),5373952,1767851186.3842208,0.3499999940395355
env/win_rate(通關率),5406720,1767851190.255159,0.33000001311302185
env/win_rate(通關率),5439488,1767851194.0659354,0.33000001311302185
env/win_rate(通關率),5472256,1767851197.8260283,0.30000001192092896
env/win_rate(通關率),5505024,1767851201.6629026,0.30000001192092896
env/win_rate(通關率),5537792,1767851205.4095185,0.33000001311302185
env/win_rate(通關率),5570560,1767851209.1642163,0.33000001311302185
env/win_rate(通關率),5603328,1767851212.9930987,0.3499999940395355
env/win_rate(通關率),5636096,1767851216.7795317,0.4099999964237213
env/win_rate(通關率),5668864,1767851220.50399,0.41999998688697815
env/win_rate(通關率),5701632,1767851224.3482041,0.4699999988079071
env/win_rate(通關率),5734400,1767851228.1825051,0.49000000953674316
env/win_rate(通關率),5767168,1767851231.940569,0.5
env/win_rate(通關率),5799936,1767851235.8235393,0.5199999809265137
env/win_rate(通關率),5832704,1767851239.639634,0.49000000953674316
env/win_rate(通關率),5865472,1767851243.3867345,0.5199999809265137
env/win_rate(通關率),5898240,1767851247.2597299,0.49000000953674316
env/win_rate(通關率),5931008,1767851251.0267448,0.4699999988079071
env/win_rate(通關率),5963776,1767851254.8078127,0.44999998807907104
env/win_rate(通關率),5996544,1767851258.8188546,0.4099999964237213
env/win_rate(通關率),6029312,1767851262.7803826,0.4099999964237213
env/win_rate(通關率),6062080,1767851266.7045023,0.4300000071525574
env/win_rate(通關率),6094848,1767851270.5552242,0.4399999976158142
env/win_rate(通關率),6127616,1767851274.4984272,0.4699999988079071
env/win_rate(通關率),6160384,1767851278.5352979,0.46000000834465027
env/win_rate(通關率),6193152,1767851282.496792,0.49000000953674316
env/win_rate(通關率),6225920,1767851286.371077,0.5099999904632568
env/win_rate(通關率),6258688,1767851290.2993336,0.5600000023841858
env/win_rate(通關率),6291456,1767851294.1221151,0.5600000023841858
env/win_rate(通關率),6324224,1767851298.0558202,0.6100000143051147
env/win_rate(通關率),6356992,1767851301.9332805,0.550000011920929
env/win_rate(通關率),6389760,1767851305.9010336,0.550000011920929
env/win_rate(通關率),6400000,1767851311.462924,0.5299999713897705
env/win_rate(通關率),6422528,1767851314.32162,0.5400000214576721
env/win_rate(通關率),6455296,1767851318.2926252,0.550000011920929
env/win_rate(通關率),6488064,1767851322.189184,0.5799999833106995
env/win_rate(通關率),6520832,1767851326.0816662,0.5600000023841858
env/win_rate(通關率),6553600,1767851329.9729526,0.550000011920929
env/win_rate(通關率),6586368,1767851333.914084,0.550000011920929
